Title,Author,Work_Type,Priority,Status,Specificity,Category,Dimension,SWEBOK_or_Primary_KA,BOK_or_Framework_Anchor,Zachman_Focus,Bloom_Level,Cynefin_Domain,Abstraction_Level,Time_Horizon,Knowledge_Type,Activation_Style,Best_Representation,RAG_Suitability,Ontology_Suitability,Policy_or_LoRA_Suitability,Primary_Agent_Role,Failure_Modes_Addressed,Canonical_Concepts_or_Triggers,Why_It_Belongs,ISBN_13_or_Edition_Note,Acquisition_Note,Critique_Dimension
Design Patterns,Erich Gamma; Richard Helm; Ralph Johnson; John Vlissides,Book,High,Keep,General,Architecture,Object-Oriented Design,Software Design,None / informal canon,How,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Structural / Ontological,Structural retrieval / coverage check,Ontology + RAG,High,High,Low,Design Pattern Agent,coupling / poor boundaries,Object-Oriented Design,Canonical reusable object-oriented design vocabulary.,9780201633610,ISBN best-effort; verify edition before acquisition,Object-Oriented Design / Architecture
Domain-Driven Design,Eric Evans,Book,High,Keep,General,Architecture,Domain Modelling,Software Design,None / informal canon,How; Why,Analyse / Evaluate / Create,Complex,System / Platform,Medium-term / Delivery,Structural / Ontological; Heuristic / Policy,Structural retrieval / coverage check,Ontology + Policy,Medium,High,High,Domain Modelling Agent,coupling / poor boundaries,bounded context; ubiquitous language; aggregate; context map,Strategic and tactical modelling for complex business domains.,9780321125217,ISBN best-effort; verify edition before acquisition,Domain Modelling / Architecture
Fundamentals of Software Architecture,Mark Richards; Neal Ford,Book,High,Keep,General,Architecture,Architecture,Software Design,None / informal canon,How,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,Architecture Mentor,coupling / poor boundaries; reasoning bias,Architecture,"Modern architecture styles, trade-offs, and fitness functions.",9781492043454,ISBN best-effort; verify edition before acquisition,Architecture / Architecture
Software Architecture in Practice,Len Bass; Paul Clements; Rick Kazman,Book,High,Keep,General,Architecture,Architecture Method,Software Design,None / informal canon,How,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Structural / Ontological,Structural retrieval / coverage check,Ontology + RAG,High,High,Low,Architecture Governance Agent,coupling / poor boundaries,Architecture Method,"Quality attributes, architecture evaluation, and formal architecture practice.",9780136885979,ISBN best-effort; verify edition before acquisition,Architecture Method / Architecture
Software Architecture: The Hard Parts,Neal Ford; Mark Richards; Pramod Sadalage; Zhamak Dehghani,Book,High,Add,General,Architecture,Architecture Trade-offs,Software Design,None / informal canon,What; How; Where,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,Architecture Trade-off Agent,coupling / poor boundaries,Architecture Trade-offs,"Architectural decomposition, distributed data, and trade-off analysis.",9781492086895,ISBN best-effort; verify edition before acquisition,Architecture Trade-offs / Architecture
Enterprise Integration Patterns,Gregor Hohpe; Bobby Woolf,Book,High,Keep,General,Enterprise Architecture,Integration,Software Design,TOGAF / Zachman,How,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Structural / Ontological,Structural retrieval / coverage check,Ontology + RAG,High,High,Low,Integration Agent,coupling / poor boundaries; brittle integration / coupling,message channel; router; translator; idempotent receiver; correlation identifier,"Canonical vocabulary for messaging, channels, routing, transformation, and integration style.",9780321200686,ISBN best-effort; verify edition before acquisition,Integration / Enterprise Architecture
Patterns of Enterprise Application Architecture,Martin Fowler,Book,High,Keep,General,Enterprise Architecture,Enterprise Systems,Software Design,TOGAF / Zachman,How,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Structural / Ontological,Structural retrieval / coverage check,Ontology + RAG,High,High,Low,Enterprise Architecture Agent,coupling / poor boundaries,Enterprise Systems,"Enterprise application layering, persistence, distribution, and domain patterns.",9780321127426,ISBN best-effort; verify edition before acquisition,Enterprise Systems / Enterprise Architecture
System Design Interview – An Insider’s Guide,Alex Xu,Book,High,Add,General,System Design,Scalable System Design,Software Design,None / informal canon,How,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,RAG + Policy,High,Medium,Medium,System Design Agent,coupling / poor boundaries; scaling-pattern gaps,caching; queues; sharding; rate limiting; load balancing; CDN,"Explicit scalable architecture patterns: caching, queues, sharding, rate limiting, CDNs, pub/sub, load balancing.",9798664653403,Verify edition before acquisition,System Design Patterns
Information Architecture for the World Wide Web,Louis Rosenfeld; Peter Morville; Jorge Arango,Book,High,Add,General,Information Architecture,Information Architecture,Software Design / HCI,None / informal canon,What; How; Who,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Structural / Ontological; Heuristic / Policy,Structural retrieval / coverage check,Ontology + RAG + Policy,High,High,Medium,Information Architecture Agent,coupling / poor boundaries; coordination failure,taxonomy; navigation; findability; metadata; information scent,"The polar bear book: taxonomy, navigation, findability, knowledge organisation, and web-scale information architecture.",9781491911686,Verify edition before acquisition,Information Architecture / UX / Knowledge Systems
Designing Interfaces,Jenifer Tidwell; Charles Brewer; Aynne Valencia,Book,High,Add,General,UX,Interface Patterns,Software Design / HCI,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Product / User,Cross-horizon,Mechanistic / Factual; Structural / Ontological,Structural retrieval / coverage check,Ontology + RAG,High,High,Medium,Interface Pattern Agent,poor usability / user mismatch,Interface Patterns,UI interaction patterns and design vocabulary; roughly analogous to design patterns for interfaces.,9781492051961,Verify edition before acquisition,Interface Patterns / UX
Don't Make Me Think,Steve Krug,Book,High,Keep,General,UX,Usability,Software Design / HCI,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Product / User,Cross-horizon,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Usability Critic,poor usability / user mismatch,Usability,"Simple, pragmatic usability principles for web/software interfaces.",9780321965516,ISBN best-effort; verify edition before acquisition,Usability / UX
The Design of Everyday Things,Don Norman,Book,High,Keep,General,UX,Human-centred Design,Software Design / HCI,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Product / User,Cross-horizon,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,UX Critic,poor usability / user mismatch; reasoning bias,Human-centred Design,"Affordances, feedback, constraints, and human-centred design fundamentals.",9780465050659,ISBN best-effort; verify edition before acquisition,Human-centred Design / UX
Design Systems,Alla Kholmatova,Book,High,Add,General,UX / Design Systems,Design Systems,Software Design / HCI,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Product / User,Medium-term / Delivery,Mechanistic / Factual; Structural / Ontological; Heuristic / Policy,Structural retrieval / coverage check,Ontology + Policy + RAG,High,High,Medium,Design System Agent,poor usability / user mismatch,Design Systems,"Foundational practical treatment of design systems, UI consistency, components, and product/platform cohesion.",9783945749529,Verify edition before acquisition,Design Systems / UX
Measure What Matters,John Doerr,Book,High,Keep,General,Management,OKRs / Outcomes,Software Engineering Management,None / informal canon,Why,Analyse / Evaluate / Create,Complicated / Complex,Organisation / Enterprise,Cross-horizon,Heuristic / Policy,Continuous background prior,Policy + Metrics,Medium,Low,High,OKR Agent,general poor judgement / missing context,OKRs; alignment; outcomes,Outcome alignment through objectives and key results.,9780525536222,ISBN best-effort; verify edition before acquisition,OKRs / Outcomes / Management
Peopleware,Tom DeMarco; Timothy Lister,Book,High,Keep,General,Management,Human Systems,Software Engineering Management,None / informal canon,Who,Analyse / Evaluate / Create,Complicated / Complex,Organisation / Enterprise,Medium-term / Delivery,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,People / Organisation Agent,cognitive overload / team coupling,Human Systems,"Human factors, team productivity, office ecology, and software work.",9780321934116,ISBN best-effort; verify edition before acquisition,Human Systems / Management
The Goal,Eliyahu Goldratt,Book,High,Add,General,Operations,Theory of Constraints,Software Engineering Management,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Cross-layer,Cross-horizon,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Bottleneck / Flow Agent,general poor judgement / missing context,constraint; bottleneck; throughput; flow,"Bottleneck reasoning, flow, and system optimisation.",9780884271956,ISBN best-effort; verify edition before acquisition,Theory of Constraints / Operations
Team Topologies,Matthew Skelton; Manuel Pais,Book,High,Keep,General,Organisation,Team Design,Software Engineering Management,None / informal canon,How; Who,Analyse / Evaluate / Create,Complicated / Complex,Product / User,Long-term / Strategic,Structural / Ontological; Heuristic / Policy,Structural retrieval / coverage check,Ontology + Policy,Medium,High,High,Team Topology Agent,cognitive overload / team coupling; coordination failure,cognitive load; stream-aligned team; platform team; interaction modes,"Team interaction modes, cognitive load, and platform-team thinking.",9781942788812,ISBN best-effort; verify edition before acquisition,Team Design / Organisation
The Lean Startup,Eric Ries,Book,High,Keep,General,Startup Strategy,Startup / Experimentation,Software Engineering Management / Business Context,None / informal canon,Why,Analyse / Evaluate / Create,Complex,Business / Market,Long-term / Strategic,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Startup Strategy Agent,waste / local optimisation; building without market learning,MVP; validated learning; build-measure-learn; pivot,"Validated learning, MVPs, build-measure-learn, and uncertainty management.",9780307887894,ISBN best-effort; verify edition before acquisition,Startup / Experimentation / Startup Strategy
Escaping the Build Trap,Melissa Perri,Book,High,Keep,General,Product,Product Strategy,Software Engineering Management / Requirements,None / informal canon,Why,Analyse / Evaluate / Create,Complex,Product / User,Medium-term / Delivery,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Product Strategy Agent,general poor judgement / missing context,Product Strategy,Avoiding output obsession; product management focused on outcomes.,9781491973790,ISBN best-effort; verify edition before acquisition,Product Strategy / Product
Inspired,Marty Cagan,Book,High,Keep,General,Product,Product Management,Software Engineering Management / Requirements,None / informal canon,Who,Analyse / Evaluate / Create,Complex,Product / User,Medium-term / Delivery,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Product Agent,cognitive overload / team coupling,Product Management,"Modern product discovery, empowered teams, and product judgement.",9781119387503,ISBN best-effort; verify edition before acquisition,Product Management / Product
User Story Mapping,Jeff Patton,Book,High,Keep,General,Product,Product Discovery / Delivery,Software Engineering Management / Requirements,BABOK,Who; When,Analyse / Evaluate / Create,Complex,Product / User,Medium-term / Delivery,Operational / Procedural; Heuristic / Policy,Workflow execution / checklist,Workflow + Policy,Medium,Low,High,Product Sequencing Agent,general poor judgement / missing context,Product Discovery / Delivery,"Product discovery, user journeys, slicing, and release planning.",9781491904909,ISBN best-effort; verify edition before acquisition,Product Discovery / Delivery / Product
Accelerate,Nicole Forsgren; Jez Humble; Gene Kim,Book,High,Keep,General,DevOps,Delivery Metrics,Software Engineering Process,None / informal canon,Who,Analyse / Evaluate / Create,Complicated,Cross-layer,Medium-term / Delivery,Heuristic / Policy,Continuous background prior,Policy + Metrics,Medium,Low,High,Delivery Metrics Agent,bottleneck / capacity failure; coordination failure,DORA metrics; deployment frequency; lead time; MTTR; change fail rate,Evidence-based delivery performance and organisational capability model.,9781942788331,ISBN best-effort; verify edition before acquisition,Delivery Metrics / DevOps
Continuous Delivery,Jez Humble; David Farley,Book,High,Keep,General,DevOps,Delivery,Software Engineering Process,None / informal canon,Where,Apply / Analyse,Complicated / Complex,Cross-layer,Medium-term / Delivery,Mechanistic / Factual; Operational / Procedural,Workflow execution / checklist,Workflow + RAG,High,Low,Medium,Deployment Agent,general poor judgement / missing context,Delivery,"Automated build, test, deployment, and release pipelines.",9780321601919,ISBN best-effort; verify edition before acquisition,Delivery / DevOps
The Toyota Way,Jeffrey Liker,Book,High,Keep,General,Lean,Operational Excellence,Software Engineering Process,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Cross-layer,Medium-term / Delivery,Operational / Procedural; Heuristic / Policy,Workflow execution / checklist,Policy + Workflow,Medium,Low,High,Lean Ops Agent,waste / local optimisation,kaizen; jidoka; Andon; stop-the-line; genchi genbutsu,"Lean production, jidoka, kaizen, Andon, and system-wide improvement.",9780071392310,ISBN best-effort; verify edition before acquisition,Operational Excellence / Lean
Systems Performance,Brendan Gregg,Book,High,Add,Specialist but foundational,Performance,Operations,Software Quality,None / informal canon,How,Apply / Analyse,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Performance Agent,bottleneck / capacity failure,Operations,Systems performance methodology and bottleneck diagnosis.,9780136820154,ISBN best-effort; verify edition before acquisition,Operations / Performance
Release It!,Michael T. Nygard,Book,High,Keep,General,Reliability,Production Systems,Software Quality,None / informal canon,How,Analyse / Evaluate / Create,Chaotic / Complex,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,Resilience Agent,operational brittleness,circuit breaker; bulkhead; timeout; stability patterns,"Production failure modes, stability patterns, and operational design.",9781680502398,ISBN best-effort; verify edition before acquisition,Production Systems / Reliability
Site Reliability Engineering,Google,Book,High,Keep,General,Reliability,SRE,Software Quality,None / informal canon,When,Analyse / Evaluate / Create,Complicated / Complex,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,SRE Agent,operational brittleness,SLO; error budget; toil; incident response,"Reliability engineering, SLOs, toil, error budgets, and production practice.",9781491929124,ISBN best-effort; verify edition before acquisition,SRE / Reliability
